date, pm25, no2, so2, co
2018/11/8, 64, , 23, 24
2018/11/9, 75, , 23, 34
2018/11/10, 85, , 24, 35
2018/11/11, 88, , 22, 33
2018/11/12, 62, , 21, 25
2018/11/13, 44, , 33, 25
2018/11/14, 53, , , 
2018/11/18, 68, , 27, 43
2018/11/19, 83, , 25, 35
2018/11/20, 98, , 26, 32
2018/11/21, 104, , 34, 37
2018/11/22, 74, , 23, 28
2018/11/23, 46, , 22, 25
2018/11/24, 40, , 22, 25
2018/11/25, 45, , 22, 21
2018/11/26, 48, , 21, 24
2018/11/27, 46, , 27, 41
2018/11/28, 70, , 28, 43
2018/11/29, 98, , 27, 29
2018/11/30, 120, , 28, 26
2018/12/1, 88, , 29, 29
2018/12/2, 70, , 30, 34
2018/12/3, 75, , 31, 39
2018/12/4, 116, , 33, 32
2018/12/5, 125, , 28, 29
2018/12/6, 125, , 18, 22
2018/12/7, 77, , 18, 20
2018/12/8, 29, , 22, 28
2018/12/9, 37, , 15, 27
2018/12/10, 40, , 25, 31
2018/12/11, 60, , 27, 43
2018/12/12, 81, , 29, 39
2018/12/13, 64, , 32, 57
2018/12/14, 82, , 25, 34
2018/12/15, 67, , 27, 31
2018/12/16, 80, , 37, 35
2018/12/17, 99, , 36, 28
2018/12/18, 85, , 24, 40
2018/12/19, 52, , 27, 32
2018/12/20, 97, , 23, 22
2018/12/21, 59, , 23, 30
2018/12/22, 60, , 24, 26
2018/12/23, 68, , 26, 24
2018/12/24, 72, , 29, 21
2018/12/25, 75, , 28, 43
2018/12/26, 78, , 34, 44
2018/12/27, 111, , 29, 25
2018/12/28, 78, , 24, 22
2018/12/29, 34, , 22, 24
2018/12/30, 31, , , 
2018/8/21, 93, , 36, 53
2018/8/22, 84, , 29, 42
2018/8/23, 69, , , 
2018/8/26, 84, , 28, 46
2018/8/27, 68, , 27, 47
2018/8/28, 68, , 27, 69
2018/8/29, 91, , 25, 64
2018/8/30, 92, , 28, 62
2018/8/31, 89, , 25, 51
2018/9/1, 75, , 22, 40
2018/9/2, 80, , 23, 32
2018/9/3, 79, , 24, 41
2018/9/4, 71, , 26, 46
2018/9/5, 76, , 28, 59
2018/9/6, 86, , 30, 65
2018/9/7, 85, , 28, 62
2018/9/8, 87, , 24, 58
2018/9/9, 78, , 25, 60
2018/9/10, 95, , 26, 64
2018/9/11, 92, , 26, 66
2018/9/12, 82, , 24, 50
2018/9/13, 85, , 23, 39
2018/9/14, 99, , 23, 39
2018/9/15, 90, , 26, 45
2018/9/16, 95, , 27, 53
2018/9/17, 97, , 22, 46
2018/9/18, 78, , 23, 35
2018/9/19, 103, , 23, 26
2018/9/20, 87, , 23, 20
2018/9/21, 66, , 23, 23
2018/9/22, 46, , 27, 36
2018/9/23, 57, , 29, 46
2018/9/24, 82, , 24, 27
2018/9/25, 66, , 23, 24
2018/9/26, 59, , , 
2018/9/30, 72, , , 
2021/6/4, , 19, 33, 29
2020/10/20, , 50, 22, 47
2019/12/31, , 56, 41, 32
2019/11/19, , 46, 24, 31
2019/7/5, , 97, 27, 48
2019/8/27, , 73, 13, 34
2019/5/12, , , , 
2019/6/6, , , , 
2018/12/31, , , , 
2018/10/1, , , 33, 51
2018/10/20, , , 39, 33
2018/11/17, , , 28, 43
2018/8/20, , , 20, 44
2018/8/25, , , 36, 57
2018/9/29, , , 28, 50
2018/10/5, , , , 25
