date, pm25, no2, so2, co
2020/12/29, 143, , , 
2020/12/30, 160, , , 
2020/12/31, 163, , , 
2021/1/1, 160, , , 
2021/1/2, 161, , , 
2021/1/3, 162, , , 
2020/7/1, 90, , , 
2020/7/2, 78, , , 
2020/7/3, 97, , , 
2020/7/4, 91, , , 
2020/7/5, 89, , , 
2020/7/6, 63, , , 
2020/7/7, 70, , , 
2020/7/8, 64, , , 
2020/7/9, 68, , , 
2020/7/10, 75, , , 
2020/7/11, 71, , , 
2020/7/12, 62, , , 
2020/7/13, 61, , , 
2020/7/14, 62, , , 
2020/7/15, 79, , , 
2020/7/16, 65, , , 
2020/7/17, 67, , , 
2020/7/18, 66, , , 
2020/7/19, 69, , , 
2020/7/20, 71, , , 
2020/7/21, 62, , , 
2020/7/22, 55, , , 
2020/7/23, 71, , , 
2020/7/24, 76, , , 
2020/7/25, 70, , , 
2020/7/26, 75, , , 
2020/7/27, 70, , , 
2020/7/28, 70, , , 
2020/7/29, 65, , , 
2020/7/30, 85, , , 
2020/7/31, 67, , , 
2020/8/1, 48, , , 
2020/8/2, 72, , , 
2020/8/3, 73, , , 
2020/8/4, 59, , , 
2020/8/5, 67, , , 
2020/8/6, 70, , , 
2020/8/7, 59, , , 
2020/8/8, 55, , , 
2020/8/9, 66, , , 
2020/8/10, 73, , , 
2020/8/11, 75, , , 
2020/8/12, 77, , , 
2020/8/13, 85, , , 
2020/8/14, 84, , , 
2020/8/15, 80, , , 
2020/8/16, 75, , , 
2020/8/17, 76, , , 
2020/8/18, 63, , , 
2020/8/19, 67, , , 
2020/8/20, 78, , , 
2020/8/21, 81, , , 
2020/8/22, 83, , , 
2020/8/23, 71, , , 
2020/8/24, 76, , , 
2020/8/25, 68, , , 
2020/8/26, 64, , , 
2020/8/27, 64, , , 
2020/8/28, 64, , , 
2020/8/29, 70, , , 
2020/8/30, 74, , , 
2020/8/31, 67, , , 
2020/9/1, 69, , , 
2020/9/2, 74, , , 
2020/9/3, 71, , , 
2020/9/4, 59, , , 
2020/9/5, 62, , , 
2020/9/6, 66, , , 
2020/9/7, 73, , , 
2020/9/8, 81, , , 
2020/9/9, 84, , , 
2020/9/10, 114, , , 
2020/9/11, 86, , , 
2020/9/12, 60, , , 
2020/9/13, 67, , , 
2020/9/14, 80, , , 
2020/9/15, 79, , , 
2020/9/16, 80, , , 
2020/9/17, 77, , , 
2020/9/18, 72, , , 
2020/9/19, 76, , , 
2020/9/20, 78, , , 
2020/9/21, 77, , , 
2020/9/22, 82, , , 
2020/9/23, 70, , , 
2020/9/24, 72, , , 
2020/9/25, 86, , , 
2020/9/26, 86, , , 
2020/9/27, 87, , , 
2020/9/28, 82, , , 
2020/9/29, 68, , , 
2020/9/30, 53, , , 
2020/4/1, 36, , , 
2020/4/2, 48, , , 
2020/4/3, 77, , , 
2020/4/4, 62, , , 
2020/4/5, 40, , , 
2020/4/6, 39, , , 
2020/4/7, 76, , , 
2020/4/8, 56, , , 
