date, pm25, pm10, o3, no2, so2, co
2021/1/9, 123, 79, , 100, 12, 30
2021/1/10, 138, 78, , 96, 10, 30
2021/1/11, 131, 91, , 103, 15, 31
2021/1/12, 148, 96, , 104, 12, 29
2021/1/13, 152, 85, , 99, 8, 27
2021/1/14, 130, 64, , 82, 7, 22
2021/1/15, 102, 36, , 55, 4, 15
2021/1/16, 52, 46, , 59, 5, 15
2021/1/17, 58, 40, , 50, 4, 14
2021/1/18, 61, 30, , 44, 4, 13
2021/1/19, 52, 34, , 53, 6, 12
2021/1/20, 56, 32, , 39, 3, 10
2021/1/21, 59, 23, , 37, 4, 11
2021/1/22, 41, 42, , 44, 4, 13
2021/1/23, 53, 54, , 72, 5, 23
2021/1/24, 71, 71, , 91, 10, 26
2021/1/25, 105, 72, , 92, 10, 28
2021/1/26, 114, 73, , 101, 12, 30
2021/1/27, 107, 74, , 92, 13, 25
2021/1/28, 106, 69, , 80, 10, 19
2021/1/29, 94, 25, , 38, 3, 11
2021/1/30, 56, 29, , 48, 7, 16
2021/1/31, 46, 37, , 52, 6, 19
2020/11/7, 86, 36, , 33, 3, 9
2020/11/8, 60, 40, , 46, 6, 12
2020/11/9, 53, 47, , 56, 4, 13
2020/11/10, 71, 29, , 44, 3, 10
2020/11/11, 57, 23, , 38, 4, 10
2020/11/12, 49, 15, , 33, 3, 7
2020/11/13, 44, 17, , 32, 3, 9
2020/11/14, 44, 24, , 36, 4, 11
2020/11/15, 58, 36, , 42, 5, 12
2020/11/16, 65, 31, , 51, 6, 13
2020/11/17, 58, 34, , 53, 5, 20
2020/11/18, 65, 21, , 35, 4, 8
2020/11/19, 41, 28, , 40, 5, 8
2020/11/20, 47, 16, , 42, 3, 12
2020/11/21, 39, 24, , 41, 8, 10
2020/11/22, 62, 32, , 38, 11, 10
2020/11/23, 63, 27, , 39, 4, 10
2020/11/24, 58, 36, , 47, 8, 10
2020/11/25, 74, 53, , 52, 9, 12
2020/11/26, 104, 32, , 49, 6, 13
2020/11/27, 70, 41, , 55, 7, 16
2020/11/28, 69, 18, , 44, 3, 12
2020/11/29, 49, 27, , 58, 5, 17
2020/11/30, 51, 39, , 60, 9, 14
